supplier,supplier_sku,ean,product_name,match_type,supplier_price_basis,case_qty,unit_cost_ex_vat,unit_cost_inc_vat,case_cost_ex_vat,case_cost_inc_vat,decision,decision_reason,risk_flags
Shure Cosmetics,SCS61565,5061092120347,Airpure Designer Collection Poppy Noir Reed Diffuser - 1000ml (0347),UNIT,UNIT,1,9.35,11.219999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22672,5060194139288,Airpure Designer Collection Poppy Noir Trigger Air Freshener Spray - 250ml (9288),UNIT,UNIT,1,1.1,1.32,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61265,5060194139882,Airpure Designer Collection Red Heart Body Spray - 100ml (9882),UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22667,5060194139219,Airpure Designer Collection Roman Blue Air Freshener Refill Tin - 250ml (9219),UNIT,UNIT,1,1.05,1.26,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22673,5060194139271,Airpure Designer Collection Roman Blue Trigger Air Freshener Spray - 250ml (9271),UNIT,UNIT,1,1.1,1.32,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22849,5060194139202,Airpure Designer Collection Sugar Bliss Air Freshener Refill Tin - 250ml (9202),UNIT,UNIT,1,1.05,1.26,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22851,5060194139264,Airpure Designer Collection Sugar Bliss Trigger Air Freshener Spray - 250ml (9264),UNIT,UNIT,1,1.1,1.32,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61267,5060194139912,Airpure Designer Collection Wilderness Body Spray - 150ml (9912),UNIT,UNIT,1,0.95,1.14,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS55917,5061092120040,Airpure Designer Collection Wilderness Trigger Air Freshener Spray - 250ml (0040),UNIT,UNIT,1,1.1,1.32,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS15821,5060194130568,Airpure Fairy-Tale Kisses 8 Air Freshening Wax Melts - 68g (0568/Op-23) C/25,UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS19134,5060194131930,Airpure Fairy-Tale Kisses Scented Mini Me Candle (1930),UNIT,UNIT,1,0.4,0.48,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS17173,5060194131091,Airpure Fanta 3D Car Vent Clip Air Freshener - Orange (1091),UNIT,UNIT,1,1.35,1.62,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS19140,5060194130285,Airpure Festive Vanilla 8 Air Freshening Wax Melts - 86g (0285/Op-33),UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS15811,5060194133064,Airpure Fireside Glow Scented Large Jar Candle - 510g (3064),UNIT,UNIT,1,3.35,4.02,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22347,5060194135853,Airpure Floral Flush Fresh Poos Toilet Bowl Spray - 60ml (5853),UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
